nodeName	altName	nodeAttr[nodesPresent, ]
MMT00052162	Gpc6	brown
MMT00052236	9530008L14Rik	brown
MMT00053080	Copg2	brown
MMT00053249	Glg1	brown
MMT00053389	Ppp1cb	brown
MMT00053515	6530403A03Rik	brown
MMT00053583	Pten	brown
MMT00053732	C430010P07Rik	brown
MMT00054611	B230380D07Rik	brown
MMT00054724	4930420O11Rik	brown
MMT00054802	E430034L04Rik	brown
MMT00054901	Ppara	brown
MMT00054929	Bach1	brown
MMT00054945	Ches1	brown
MMT00054967	5830445C04Rik	brown
MMT00055034	4833414E09Rik	brown
MMT00055129	Bmp2k	brown
MMT00055401	2610034N03Rik	brown
MMT00055600	Notch1	brown
MMT00056129	Smad5	brown
MMT00056149	9430093N24Rik	brown
MMT00056241	Mtf2	brown
MMT00056282	2810455K09Rik	brown
MMT00056768	Spnb2	brown
MMT00057173	Ftsj3	brown
MMT00057391	2610510D13Rik	brown
MMT00058126	BC023892	brown
MMT00058475	Gtf2h1	brown
MMT00058673	ORF28	brown
MMT00058675	Gtf2a1	brown
MMT00059006	Map3k5	brown
MMT00059223	Usp31	brown
MMT00059295	Cab39	brown
MMT00059743	Ralb	brown
MMT00060205	NA	brown
MMT00060276	AI450540	brown
MMT00060366	9030625G08Rik	brown
MMT00060382	Gucy1a3	brown
MMT00060809	NA	brown
MMT00060830	NA	brown
MMT00061063	NA	brown
MMT00061169	Wdr10	brown
MMT00061267	Mgea6	brown
MMT00062170	Cacna2d1	brown
MMT00062579	B3bp	brown
MMT00063950	Ddx3x	brown
MMT00064106	Ugcg	brown
MMT00064144	Npc1	brown
MMT00064358	Laptm5	brown
MMT00065921	Stat6	brown
MMT00066012	6430548M08Rik	brown
MMT00066301	Mmp10	brown
MMT00066391	C430014M02Rik	brown
MMT00066585	Jmy	brown
MMT00067321	2700017A04Rik	brown
MMT00067495	Ysg2	brown
MMT00067556	Madd	brown
MMT00067716	LOC239447	brown
MMT00067969	Ywhaz	brown
MMT00068273	Rhobtb1	brown
MMT00068433	NA	brown
MMT00068599	Eif3s10	brown
MMT00068696	Zfp369	brown
MMT00068980	C630028N24Rik	brown
MMT00069854	Slc43a3	brown
MMT00070151	NA	brown
MMT00070211	Pabpc1	brown
MMT00070300	B230312B02Rik	brown
MMT00070333	C230081A13Rik	brown
MMT00070493	Cdc25a	brown
MMT00070974	Dbt	brown
MMT00071599	Ripk1	brown
MMT00072785	Grpel2	brown
MMT00072855	NA	brown
MMT00072866	Phxr3	brown
MMT00074104	Btbd7	brown
MMT00074235	Terf2	brown
MMT00074309	Sesn2	brown
MMT00074352	Olfr904	brown
MMT00074398	NA	brown
MMT00074854	Pak2	brown
MMT00075041	E130014J05Rik	brown
MMT00075170	Fmo2	brown
MMT00075201	NA	brown
MMT00075508	C530025K05Rik	brown
MMT00076216	NA	brown
MMT00076232	Scamp2	brown
MMT00076251	Ankrd25	brown
MMT00076395	D10Ertd718e	brown
MMT00076623	Rin2	brown
MMT00077107	4932441K18	brown
MMT00077125	BC013481	brown
MMT00077139	Ifngr2	brown
MMT00077157	Bzw2	brown
MMT00077178	NA	brown
MMT00077685	C79267	brown
MMT00078059	4933409L06Rik	brown
MMT00078102	Iars	brown
MMT00078455	Cald1	brown
MMT00078543	B230378H13Rik	brown
MMT00078940	Hoxb4	brown
MMT00078950	Eef1a1	brown
MMT00079131	Mdn1	brown
MMT00079520	1700081L11Rik	brown
MMT00080097	Gtf2a1	brown
MMT00080406	Eif4ebp2	brown
MMT00080624	4932438A13Rik	brown
MMT00080630	2610005L07Rik	brown
MMT00080717	BC012016	brown
MMT00080721	Gsk3b	brown
MMT00081122	5730446C15Rik	brown
MMT00081213	Slfn5	brown
MMT00081218	1700096C12Rik	brown
MMT00081264	Rpl6	brown
MMT00081880	5830415L20Rik	brown
MMT00082034	5830416A07Rik	brown
MMT00082126	5730455A04Rik	brown
MMT00082651	C330017I15Rik	brown
MMT00082877	Fgd6	brown
